State,R_Value
Alabama,0.81
Alaska,0.91
Arizona,0.97
Arkansas,0.89
California,0.92
Colorado,1
Connecticut,1
Delaware,0.93
District of Columbia,0.9
Florida,0.81
Georgia,0.82
Guam,0.9
Hawaii,0.82
Idaho,1
Illinois,0.94
Indiana,0.9
Iowa,0.9
Kansas,1
Kentucky,0.83
Louisiana,0.86
Maine,1
Maryland,0.86
Massachusetts,0.98
Michigan,1
Minnesota,1.1
Mississippi,0.95
Missouri,0.89
Montana,1
Nebraska,0.96
Nevada,0.98
New Hampshire,1
New Jersey,0.89
New Mexico,1
New York,0.96
North Carolina,0.86
North Dakota,0.92
Northern Mariana Islands,1
Ohio,0.89
Oklahoma,0.9
Oregon,0.94
Pennsylvania,0.97
Puerto Rico,0.87
Rhode Island,0.97
South Carolina,0.8
South Dakota,1
Tennessee,0.8
Texas,0.85
Utah,1
Vermont,1
Virgin Islands,0.9
Virginia,0.93
Washington,0.96
West Virginia,0.9
Wisconsin,7.2
Wyoming,0.97
