ID_1,NAME_1,ACTIVE_1
1,Andaman and Nicobar Islands,3
2,Andhra Pradesh,661
3,Arunachal Pradesh,33
4,Assam,1368
5,Bihar,98
6,Chandigarh,60
7,Chhattisgarh,422
8,Dadra and Nagar Haveli,0
9,Daman and Diu,0
10,Delhi,860
11,Goa,101
12,Gujarat,566
13,Haryana,859
14,Himachal Pradesh,454
15,Jammu and Kashmir,281
16,Jharkhand,301
17,Karnataka,2802
18,Kerala,11330
19,Lakshadweep,2
20,Madhya Pradesh,750
21,Maharashtra,6928
22,Manipur,99
23,Meghalaya,119
24,Mizoram,3431
25,Nagaland,65
26,Odisha,950
27,Puducherry,21
28,Punjab,274
29,Rajasthan,1292
30,Sikkim,26
31,Tamil Nadu,1461
32,Telangana,1141
33,Tripura,4
34,Uttar Pradesh,1497
35,Uttarakhand,689
36,West Bengal,1542
